certification_no,insurer,plan_name,plan_level,plan_doc_url,still_missing,ward,deductible,geography,annual_limit,coinsurance,lifetime,note
F00039-02-000-02,Hong Kong Life Insurance Limited,Health Supreme Medical Plan,Plan II,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00039/F00039-02-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00039-02-001-02,Hong Kong Life Insurance Limited,Health Supreme Medical Plan,Plan II with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00039/F00039-02-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00039-03-000-02,Hong Kong Life Insurance Limited,Health Supreme Medical Plan,Plan III,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00039/F00039-03-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00039-03-001-02,Hong Kong Life Insurance Limited,Health Supreme Medical Plan,Plan III with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00039/F00039-03-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00047-01-001-02,Liberty International Insurance Limited,Liberty Insurance VHIS Series - Flexi Plan (Classic),Flexi Plan (Classic with SMM),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00047/F00047-01-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00047-01-000-02,Liberty International Insurance Limited,Liberty Insurance VHIS Series - Flexi Plan (Classic),Flexi Plan (Classic),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00047/F00047-01-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00048-01-001-02,Liberty International Insurance Limited,Liberty Insurance VHIS Series - Flexi Plan (Plus),Flexi Plan (Plus with SMM),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00048/F00048-01-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00048-01-000-02,Liberty International Insurance Limited,Liberty Insurance VHIS Series - Flexi Plan (Plus),Flexi Plan (Plus),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00048/F00048-01-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-01-000-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan A,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-01-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-01-001-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan A with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-01-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-02-000-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan B,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-02-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-02-001-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan B with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-02-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-03-000-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan C,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-03-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00023-03-001-02,MSIG Insurance (Hong Kong) Limited,VHIS Prestige Care,Plan C with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00023/F00023-03-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00019-03-000-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Private Room,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-03-000-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-03-001-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Private Room with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-03-001-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-03-002-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Private Room with SMM Plus,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-03-002-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-02-000-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Semi-private Room,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-02-000-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-02-001-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Semi-private Room with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-02-001-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-02-002-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Semi-private Room with SMM Plus,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-02-002-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-01-000-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Ward,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-01-000-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-01-001-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Ward with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-01-001-07-PlanDoc-e.pdf,deductible,,,,,,,
F00019-01-002-07,Manulife (International) Limited,Manulife First VHIS Flexi Plan,Ward with SMM Plus,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00019/F00019-01-002-07-PlanDoc-e.pdf,deductible,,,,,,,
F00013-03-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Private Room (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-03-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-06-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Private Room (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-06-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-03-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Private Room with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-03-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00068-03-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Private Room with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-03-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00013-06-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Private Room with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-06-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00068-06-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Private Room with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-06-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00013-02-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-02-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-05-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-05-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00068-02-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Semi-private Room with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-02-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00068-05-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Semi-private Room with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-05-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00013-02-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room with SMM 1 (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-02-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-05-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room with SMM 1 (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-05-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-02-002-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room with SMM 2 (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-02-002-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-05-002-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Semi-private Room with SMM 2 (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-05-002-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-01-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-01-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-04-000-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-04-000-06-PlanDoc-e.pdf,deductible,,,,,,,
F00068-01-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Ward with SMM (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-01-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00068-04-000-01,Prudential Hong Kong Limited,PRUHealth VHIS EasyChoice Plan,Ward with SMM (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00068/F00068-04-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00013-01-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward with SMM 1 (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-01-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-04-001-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward with SMM 1 (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-04-001-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-01-002-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward with SMM 2 (HKD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-01-002-06-PlanDoc-e.pdf,deductible,,,,,,,
F00013-04-002-06,Prudential Hong Kong Limited,PRUHealth FlexiChoice Medical Plan,Ward with SMM 2 (USD),https://www.vhis.gov.hk/doc/certifiedplan/fp/F00013/F00013-04-002-06-PlanDoc-e.pdf,deductible,,,,,,,
F00026-01-000-03,Sun Life Hong Kong Limited,WeHealth Plus,Scheme 1,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00026/F00026-01-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00026-01-001-03,Sun Life Hong Kong Limited,WeHealth Plus,Scheme 2,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00026/F00026-01-001-03-PlanDoc-e.pdf,deductible,,,,,,,
F00042-02-000-02,Well Link Life Insurance Company Limited,Well Protect Voluntary Health Insurance Scheme (Flexi),Semi-Private,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00042/F00042-02-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00042-03-000-02,Well Link Life Insurance Company Limited,Well Protect Voluntary Health Insurance Scheme (Flexi),Standard Private,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00042/F00042-03-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00042-01-000-02,Well Link Life Insurance Company Limited,Well Protect Voluntary Health Insurance Scheme (Flexi),Ward,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00042/F00042-01-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00020-01-000-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 1,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-01-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-01-000-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 1,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-01-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00080-02-000-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 1+,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-02-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-01-001-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 1M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-01-001-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-01-001-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 1M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-01-001-01-PlanDoc-e.pdf,deductible,,,,,,,
F00080-02-001-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 1M+,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-02-001-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-02-000-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 2,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-02-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-03-000-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 2,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-03-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-02-001-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 2M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-02-001-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-03-001-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 2M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-03-001-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-03-000-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 3,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-03-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-04-000-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 3,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-04-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-03-001-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 3M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-03-001-03-PlanDoc-e.pdf,deductible,,,,,,,
F00080-04-001-01,YF Life Insurance International Limited,TaxVantage PrimeChoice Medical Plan,Plan 3M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00080/F00080-04-001-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-04-000-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 4,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-04-000-03-PlanDoc-e.pdf,deductible,,,,,,,
F00020-04-001-03,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan 4M,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-04-001-03-PlanDoc-e.pdf,deductible,,,,,,,
F00020-05-000-01,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan X,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-05-000-01-PlanDoc-e.pdf,deductible,,,,,,,
F00020-05-001-01,YF Life Insurance International Limited,TaxVantage Plus Medical Plan,Plan XM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00020/F00020-05-001-01-PlanDoc-e.pdf,deductible,,,,,,,
F00044-02-000-02,Zurich Insurance Company Ltd,HealthFlexi Voluntary Health Insurance Plan,Advanced,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00044/F00044-02-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00044-02-001-02,Zurich Insurance Company Ltd,HealthFlexi Voluntary Health Insurance Plan,Advanced with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00044/F00044-02-001-02-PlanDoc-e.pdf,deductible,,,,,,,
F00044-01-000-02,Zurich Insurance Company Ltd,HealthFlexi Voluntary Health Insurance Plan,Essential,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00044/F00044-01-000-02-PlanDoc-e.pdf,deductible,,,,,,,
F00044-01-001-02,Zurich Insurance Company Ltd,HealthFlexi Voluntary Health Insurance Plan,Essential with SMM,https://www.vhis.gov.hk/doc/certifiedplan/fp/F00044/F00044-01-001-02-PlanDoc-e.pdf,deductible,,,,,,,
